id,titre,prix,localisation,date_creation_iso,date_creation_formatee,date_creation_jour,jours_ecoules
93745147,Paris 6e - 92 m² - 3 pièces - 2 chambres,1 500 000 €,Metro Odéon · 3 Rue du Pont de Lodi,2025-11-17T08:37:52.000Z,2025-11-17 08:37:52,2025-11-17,20
93745138,Paris 6e - 32 m² - 1 pièces,433 900 €,Metro Notre-Dame des Champs · 5 Rue Duguay-Trouin,2025-11-17T08:37:52.000Z,2025-11-17 08:37:52,2025-11-17,20
93745132,Paris 6e - 108 m² - 5 pièces - 3 chambres,1 790 000 €,Metro Rennes · 7 Rue d'Assas,2025-11-17T08:37:52.000Z,2025-11-17 08:37:52,2025-11-17,20
93745128,Paris 6e - 44 m² - 2 pièces - 1 chambres,698 000 €,Metro Saint-Germain des Prés · Rue de Seine,2025-11-17T08:37:52.000Z,2025-11-17 08:37:52,2025-11-17,20
93745021,Paris 15e - 77 m² - 3 pièces - 2 chambres,880 000 €,Metro Dupleix · 34-40 Rue Emeriau,2025-11-17T08:33:14.000Z,2025-11-17 08:33:14,2025-11-17,20
93745009,Paris 16e - 107 m² - 5 pièces - 3 chambres,1 450 000 €,Metro Trocadéro · 24 Rue de la Tour,2025-11-17T08:33:00.000Z,2025-11-17 08:33:00,2025-11-17,20
93745002,Paris 16e - 91 m² - 3 pièces - 2 chambres,1 250 000 €,Metro Trocadéro · 48 Rue de la Tour,2025-11-17T08:32:51.000Z,2025-11-17 08:32:51,2025-11-17,20
93744996,Paris 16e - 132 m² - 4 pièces - 3 chambres,1 290 000 €,Metro Michel-Ange-Molitor · 85 Rue Chardon-Lagache,2025-11-17T08:32:50.000Z,2025-11-17 08:32:50,2025-11-17,20
93744995,Paris 16e - 63 m² - 3 pièces - 1 chambres,865 000 €,Metro Rue de la Pompe · Rue Vital,2025-11-17T08:32:50.000Z,2025-11-17 08:32:50,2025-11-17,20
93744994,Paris 16e - 111 m² - 5 pièces - 3 chambres,995 000 €,Metro Champ de Mars · 7 Rue des Eaux,2025-11-17T08:32:50.000Z,2025-11-17 08:32:50,2025-11-17,20
